toiletries,band aid,brush,comb,deodorant,lipstick,mascara,nail clipper,nail polish,needle,razor,scale,toilet paper,toothbrush,toothpaste,towel,tweezers,mouthwash,shaving cream
0.04826624,-0.009307116,0.048880372,-0.014955472,0.050291236,-0.001200813,0.047958188,0.001925291,0.036240015,-0.005261075,0.01931706,0.033538986,0.059145086,0.043690175,0.03875369,0.007457383,-0.010210225,0.02551047,0.0050653
-0.075410984,-0.06941803,-0.055954847,-0.055105783,-0.04352013,-0.004777854,-0.047663014,-0.03937391,-0.06524881,-0.053139124,-0.046116464,-0.045327134,-0.03149861,-0.06554414,-0.04334174,-0.067527175,-0.03869972,-0.038189445,-0.056153856
-0.03625889,0.013532432,-0.06792284,-0.062508225,0.022667471,0.04429447,0.006936037,-0.009462119,0.022287345,-0.06699146,-0.034950156,-0.021019269,0.011020017,-0.043843314,0.032629814,-0.00344368,-0.051179595,0.027410079,0.044613585
0.078106746,0.051091503,0.059751537,0.066861615,0.06895252,0.028085543,0.0596037,-0.026521444,0.04481684,0.045019165,0.082749635,0.029473085,0.07518237,0.06834357,0.032790054,0.06517692,-0.005453176,0.063684635,0.07410269
-0.001217086,0.033772547,0.049274303,0.03741099,-0.05842676,0.02377702,0.06443336,0.00342395,0.004416965,0.04018479,0.0663227,0.053791422,-0.04113242,-0.003308368,-0.004422604,0.013619991,-0.03787027,0.04641691,-0.02274804
-0.064578764,-0.016923284,-0.06568539,-0.015570724,-0.06504092,-0.051502775,-0.0306403,0.018615976,0.016885728,0.06836019,-0.025767133,-0.009010452,-0.05500605,-0.013125761,0.021046037,-0.0728371,0.014600694,-0.06881566,-0.030376436
-0.034355957,-0.0394979,-0.00766123,-0.011429371,-0.04583244,-0.05739544,-0.03685294,-0.043646585,-0.059063476,0.015421551,-0.008632379,0.06319848,0.047766637,-0.014303155,-0.005073127,0.025676096,0.026969377,-0.014563039,-0.000104131
0.023601476,0.031218357,-0.080314845,-0.032320958,-0.04561162,0.030893743,0.004199979,-0.023747558,0.003902288,-0.001865208,0.01905951,0.012789993,-0.04032104,-0.05250266,-0.07084666,-0.005777313,-0.06992608,-0.022783905,0.014836483
0.030464116,0.019607035,0.031419076,0.039656896,0.032554474,-0.026315385,0.03479836,0.049436215,0.03680968,0.043679565,0.012274725,0.047173113,0.049310677,0.050900716,0.06152168,0.06452475,0.0518275,0.0260994,0.02955813
-0.027534826,-0.07305932,0.046912957,0.032477394,0.028557884,0.006810762,0.026372997,0.022014908,0.03353818,-0.010395558,-0.017099999,0.065305784,0.028902508,0.060538065,0.07626957,-0.004422606,0.002864791,0.04769196,0.014299656
0.07521583,-0.005610232,0.00699044,0.05176363,0.053272013,-0.019683149,-0.016844852,-0.01689339,0.030056106,0.072511084,0.01368859,0.028118044,0.05369091,0.07209105,-0.025369698,0.042455133,0.007875871,-0.016132439,0.038099844
-0.033579104,0.038153008,0.002817784,0.031070838,-0.029805845,0.019757146,0.009682514,0.06279621,0.049754195,0.062156193,-0.006857722,-0.009642581,-0.004896419,0.006003144,-0.019289047,-0.008917448,0.071939535,-0.042583026,0.026487665
-0.06743171,-0.083199196,-0.04699684,-0.04425575,-0.07105236,-0.02159523,0.031352017,-0.041315563,-0.06737241,-0.06276674,0.015917616,0.006565674,-0.083677426,-0.074830554,-0.040971864,-0.06697467,-0.07363723,-0.068296894,-0.054445907
-0.07754916,0.047295973,-0.07348457,-0.02687392,-0.07089327,-0.06559899,-0.053159565,0.002391865,-0.055070482,-0.002560203,0.008785819,0.08999642,-0.050113995,-0.052258354,-0.07436989,0.058382858,0.01362821,-0.076137654,-0.07548219
0.027258186,-0.002931686,-0.06951651,-0.032298688,-0.034831803,-0.029787185,-0.023934588,-0.017375724,-0.010376357,-0.007755082,-0.06351996,-0.07642393,-0.013473102,-0.038486157,0.015318367,0.04235534,-0.068357885,-0.03829314,-0.030097298
-0.05530506,-0.000251553,-0.049345996,-0.06630508,0.023718482,-0.035076063,-0.06948662,-0.06288228,-0.055408414,-0.07139547,-0.03163126,-0.038034473,-0.03775945,-0.07121759,-0.013792819,-0.013123052,-0.050554987,0.031415332,-0.003327658
-0.024948264,-0.025596146,0.04389535,0.085483775,-0.00087914,0.07543273,0.072038926,0.039850034,-0.005209257,0.029690733,0.07178051,-0.007896307,-0.027159305,-0.030826295,-0.019002594,0.029665152,0.06461495,-0.046934072,0.038652983
-0.072994925,-0.06780511,-0.01657504,-0.0696071,-0.068579815,-0.064426996,-0.06172649,-0.069782645,-0.068310894,-0.07396697,-0.040171918,-0.076566346,-0.0780151,-0.07187598,-0.048721075,-0.06783239,-0.05539533,-0.07139775,-0.06004199
0.04499963,-0.057624158,-0.06492406,-0.008680799,0.006436183,-0.06932568,-0.03940738,-0.05700949,-0.068657175,0.01794442,0.00377693,-0.01698123,0.016343389,-0.025655366,0.018195054,0.00200045,-0.05018917,0.01584352,0.02246679
0.051198274,-0.041652992,0.057360917,-0.01591167,0.014107131,-0.028161174,-0.035423074,-0.05714963,-0.021925243,-0.014554057,-0.073434815,-0.021072177,-0.038097568,0.055726778,-0.011109687,0.038513333,-0.020395322,0.06107762,-0.047087163
-0.027971623,0.046712704,0.001864289,-0.041139103,-0.05891505,-0.00499997,0.048668966,-0.04518341,-0.044364385,-0.044292178,0.000632169,0.017072566,-0.043003082,-0.029939579,0.030746618,0.014513413,-0.03284893,0.04512832,-0.025727488
