Places and Buildings,africa,airport,australia,bakery,bar,barn,cabin,castle,church,city,eiffel tower,house,hut,igloo,italy,library,lighthouse,pyramid,restaurant,stadium,tent,tepee,texas,windmill
0.073539354,0.0031577565,0.07061847,-0.008471068,0.03251364,0.07081632,0.03290858,0.07029156,0.008897499,0.052348755,0.06381146,0.03882139,0.03846499,0.07155047,0.054419197,-0.034319412,0.016548263,0.04519119,0.0295861,0.056034647,0.049643606,0.063718475,0.035286583,0.057349548,0.05604032
0.042970646,0.0731351,-0.052377805,-0.067906655,-0.06976011,-0.04369996,0.04719859,0.08455482,-0.041632246,-0.011092286,-0.028798705,0.026014118,0.09438396,-0.023042109,0.055011332,0.017622227,0.059641995,-0.04268001,-0.06151795,-0.047379736,0.0328429,0.080648586,0.014597632,-0.032672975,-0.052207943
-0.030007822,0.029735927,0.044042546,0.053774305,0.024238473,0.04530945,0.04814953,0.009667883,0.060672965,0.07237794,0.06456667,0.029631695,0.059940115,0.031374995,-0.006879946,0.041154142,0.05673072,0.02247492,0.010642809,0.045216575,0.047846597,-0.014636899,0.046053335,0.04849636,0.012698524
-0.030112209,-0.07553683,-0.0773184,-0.070378825,-0.055662706,0.0004967384,-0.023242613,-0.00632276,-0.059054982,-0.047613975,-0.056747127,-0.043367773,-0.07813434,-0.060099877,-0.056903623,-0.046071704,-0.07778221,0.022434918,-0.018383555,-0.050319284,-0.023880627,0.019516775,-0.06310453,-0.051431306,-0.070802614
-0.019933663,-0.005338441,0.033610363,0.05552473,0.066072844,-0.05038003,-0.07637564,-0.08188616,-0.023668809,0.06134447,-0.028688256,-0.003885845,-0.06793488,-0.03703961,-0.0005487958,0.011495872,0.0056137405,0.045919325,-0.056818407,-0.005817828,-0.010278928,-0.05205165,-0.023385838,-0.014500974,0.019927854
0.01679452,-0.03203841,-0.01665616,0.042324934,-0.024910847,0.06306542,0.02370774,0.07549888,0.07395789,-0.0053734854,0.015750326,0.03832902,0.012755553,0.04935651,0.060809314,-0.011011674,-0.017442295,0.02244271,0.076744385,-0.05232115,0.012617828,0.0845395,0.06865967,0.046417646,0.07247445
0.010619329,0.03270187,0.056442104,0.042538404,0.011687032,0.0054231477,0.078512765,0.063348524,0.007769134,0.058191217,0.033318184,0.057956118,0.06946106,0.062003955,0.05316443,0.008307718,-0.049488664,0.06789862,0.06414094,0.05614328,0.0618579,0.07034445,0.08328486,0.040725686,0.045431122
-0.0002819146,-0.066634014,-0.026635502,-0.025365919,-0.055610865,-0.0108982595,0.0009807259,-0.025044499,0.02096311,-0.089019276,-0.024308203,-0.03343552,0.0020326127,-0.076973215,-0.03499546,-0.008917896,-0.057025354,-0.06577641,-0.0616384,0.008973077,-0.06821268,-0.020943763,-0.019833097,-0.0048759216,-0.007290781
-0.036022317,-0.068209976,0.0027630317,-0.041619673,-0.055643503,0.0049386793,-0.039234098,0.054255284,0.007286981,-0.046072863,-0.025964772,0.008705333,0.0065234173,0.029382972,0.02845449,-0.05189538,-0.018202676,0.017061235,0.06011423,-0.054139815,0.019864773,0.03954764,0.0065142126,-0.00047010204,0.035101768
0.012672611,-0.023448328,0.011528986,0.030378697,-0.02235765,0.06991073,0.03552906,-0.043088082,0.0043208087,0.005333508,-0.05097069,-0.080161005,-0.00350721,-1.8384186e-05,-0.07002086,-0.0676403,-0.025681945,-0.068557955,-0.014619576,0.041930452,0.040503934,0.001763847,-0.021442454,0.051995676,-0.07835124
-0.06360245,-0.007086576,0.05197583,0.016157512,0.0350903,-0.048043955,-0.059496373,-0.054769173,-0.05741546,-0.04887818,-0.03800059,0.04669206,-0.017437687,-0.042204402,0.02792639,0.0529958,0.0021915245,0.013661963,0.01710213,-0.046635177,-0.05333663,-0.011333128,-0.05373061,0.004505976,-0.023965424
0.06764204,0.033022184,-0.07339397,-0.019297922,0.041745685,-0.0013999833,-0.010737428,0.014466551,0.060085207,0.003705428,0.014039715,0.016187096,0.021782378,-0.0044411835,-0.0010775302,-0.07004332,0.065497115,0.034908243,-0.011379817,0.004446841,0.00515881,0.06722901,-0.05690034,-0.016990962,0.02568164
0.04997578,0.07580767,-0.016396845,0.051355347,-0.059287705,-0.029358495,-0.058969527,0.0080142105,-0.0014763161,0.057123337,-0.01575174,0.0036068412,0.048804738,-0.031478096,0.06820367,-0.03299684,0.059957553,0.0124176,0.004690617,-0.08237242,0.026437784,0.07341532,0.050922472,0.04252155,-0.0674985
-0.046619724,-0.0107797105,0.021626135,-0.012931814,-0.05015954,0.005301291,0.04483909,-0.023315016,-0.06658686,0.039667338,-0.0524566,0.019809363,-0.07552905,-0.0667285,-0.004181121,-0.023398194,0.004753278,0.03504812,-0.04127397,-0.01714335,-0.046870727,0.04932038,0.008622285,-0.01411459,-0.019717172
0.0070226304,0.037668303,0.0029864868,-0.043072823,0.025009677,-0.057605878,0.046854667,0.002454479,-0.0020310166,0.04277687,0.031107789,0.054674607,0.054710418,0.0715024,-0.05164442,-0.024038574,-0.004757606,-0.047095716,0.02784495,0.021242585,0.040881503,-0.0038966958,-0.012948464,0.01449976,0.035915874
