Uncategorized,bird,bomb,bullet,cage,cannon,cigar,cigarette,coins,cross,fruit,grenade,heart,knot,license plate,mask,menu,money,parachute,passports,penny,saddle,shapes,steam,stethoscope,ticket,vegetables,wheel,whip
-0.05830672,0.021889813,-0.02502551,-0.05493668,-0.0031639677,-0.014228772,0.009026076,-0.044705044,0.00038058285,-0.0052694753,0.00057301926,0.009855051,-0.036302425,-0.058641873,-0.036486145,0.035696734,-0.043494854,-0.02909262,-0.05662502,-0.03792264,-0.057964478,-0.061598115,-0.01275809,-0.08235363,-0.041091055,-0.028492741,0.010814187,-0.04470401,-0.026947686
0.013285416,-0.009848769,-0.051076,0.09254423,0.023481067,0.047720753,-0.04310592,0.019998856,-0.059424944,0.05914747,-0.010255208,0.057891544,0.02390135,-0.071749374,-0.06938602,0.041283865,0.042733632,-0.051561613,-0.007900299,-0.012342798,-0.07689371,0.0421935,-0.05399633,0.011480473,0.034546822,-0.052875504,-0.0055391877,0.0033400538,0.011819533
-0.035538677,-0.051621698,0.010065902,-0.016508898,-0.077494934,-0.033410348,-0.025997994,-0.0008322446,-0.008880078,-0.03041558,-0.027947683,0.029286027,-0.030201972,-0.032257363,-0.028238256,-0.0487388,0.05835667,-0.008528184,0.047594078,-0.015246317,-0.06796977,0.002131692,-0.04602279,0.05787326,-0.024984337,-0.018436842,-0.030169375,-0.03515073,-0.03579718
-0.036078803,0.04092745,0.034459382,0.054660693,0.045861587,0.06543099,0.04631042,0.0632975,0.07391452,0.029851072,0.043652363,0.03662517,0.07126349,0.04167291,-0.0134924,0.03642525,-0.020977426,0.049698953,0.046469957,0.024354877,0.055261932,0.039692104,0.059844747,0.03768891,0.05329355,0.031876843,0.05368875,0.044688683,0.031619616
0.019460294,0.053535506,-0.0031676225,0.043004196,0.08484145,0.05611915,0.007552585,-0.04499052,-0.060922537,-0.039986424,-0.017749375,0.008120858,-0.04624099,-0.02707818,-0.0040677884,0.004492428,-0.07106775,0.017884117,-0.053600088,-0.05488298,0.011904608,-0.017287742,-0.064664185,-0.028324153,-0.015917534,-0.064340934,-0.047172826,-0.045855504,-0.007167988
0.017002039,0.060174238,0.03846867,0.031197384,0.041099064,0.013161692,-0.0006055635,0.0050563356,-0.019899908,-0.009635615,0.042909723,0.018496266,0.007617261,0.04106942,-0.005126355,0.03238463,-0.0032657941,-0.040912006,0.030556805,-0.047713134,0.031840917,0.029548686,-0.04064666,-0.009802541,0.011546647,-0.008578578,0.03980152,-0.0061107064,0.022789577
-0.01615018,-0.05261225,0.010703626,-0.039965775,-0.0746387,-0.047398977,-0.0075413776,-0.055541087,-0.01017307,-0.06561951,-0.019377684,-0.053809687,-0.052942783,-0.0006619485,0.03861066,-0.041288804,-0.069355235,-0.014492467,-0.05207717,0.023735663,0.0038805315,-0.058199137,-0.06381069,0.007053542,-0.04113999,-0.009430123,-0.07663499,-0.027294071,-0.044940792
-0.08815504,-0.046805643,-0.018770535,0.014063875,-0.08217576,-0.06273026,-0.07105627,0.01652671,-0.021953149,-0.04419301,-0.075866625,0.023220006,-0.017439961,0.018291265,-0.020144729,-0.06854243,-0.0072894474,-5.4122425e-05,0.022297472,-0.046762284,0.024598096,-0.060700458,-0.010871132,-0.016389212,0.028358357,-0.041027322,-0.053028714,-0.0074442225,0.032801256
0.0129374685,0.012715325,0.043998748,0.0507494,0.06004778,0.049953803,0.08085282,0.058751527,0.053592525,0.014596648,0.08078551,0.07306252,0.078470886,0.007686381,0.06503749,0.08099039,0.07535846,0.07154498,0.0788776,0.016809186,0.046568662,0.003183274,0.074523434,0.03644597,0.060874134,0.004315142,0.063147776,0.039991017,0.028245507
0.06689764,-0.0042445743,0.03231893,0.063883215,0.022807421,0.07124045,0.05655433,0.040150836,0.0062119784,0.080787525,0.054265223,-0.009623428,0.07967189,-0.040451314,0.062326524,0.030704845,0.024791345,-0.03085791,0.08020513,-0.055962328,0.010262224,0.04262206,0.07313789,0.027885012,0.03952174,0.027509727,0.05636094,-0.02960133,0.043940652
