Clothing,armor,boot,button,dress,heel,jacket,jeans,pants,pocket,raincoat,robe,sandals,shirt,shoe,shoelace,sleeve,slippers,sock,suit,sweater,underwear,vest,zipper
-0.033466447,-0.034414575,-0.019530635,0.005578498,-0.037092663,-0.04993479,-0.04704607,-0.049085777,-0.027827373,-0.07236158,-0.07396331,-0.001170627,-0.029341169,-0.04225838,0.06141267,0.075006016,-0.05153131,0.057820205,-0.014947635,-0.06393752,0.046456054,0.073343165,-0.061205707,0.004615657
0.016530734,0.049841687,0.062637456,-0.025431296,-0.0027190177,0.0816798,0.03399014,0.06211435,0.04000746,-0.06351807,0.043014955,0.013075981,0.040544644,0.046952896,0.0053760554,0.044526543,0.034904514,-0.021912303,-0.008710016,0.036270287,-0.027215006,0.054359067,0.071212456,0.071403876
-0.01030701,0.079658195,0.0093141105,0.018150963,-0.011208233,0.06365655,0.01763816,0.031241564,0.034576025,0.061923947,0.024744065,-0.023763496,-0.0020032907,0.04493939,0.01741088,0.0744536,0.057865065,0.03768958,0.064431764,0.039122667,0.05765433,0.05202783,0.01027353,-0.037050683
0.07453959,-0.006081097,0.013168314,-0.030834727,0.07239618,0.005572352,0.05221486,0.022338947,0.027075417,0.018096669,0.05370394,0.059358153,0.04095204,0.051068377,0.06212902,0.0481851,0.051748965,-0.0011406714,0.0023835488,0.042922497,0.008659025,0.06652639,0.064071536,0.03140543
0.069808565,0.06427616,0.08731421,0.07922577,0.0805404,0.07815802,0.0879987,0.054671284,0.066465184,0.083889015,0.055852443,0.08475223,0.07742922,0.073824026,0.08407381,0.07451881,0.084565796,0.05921487,0.07263569,0.08036952,0.06516642,0.07500672,0.08437964,0.07270367
0.030998612,0.042444497,0.08478547,0.07362307,0.07314399,0.07538393,0.0673703,0.06836041,0.073273905,0.06037549,-0.027605986,0.07105886,0.03757803,0.06406971,0.079348356,0.07211648,0.054694407,0.04574735,0.03868153,0.061137374,0.06007834,0.05878936,0.051077835,0.05153703
-0.014656631,0.056162655,-0.02256704,0.06454274,-0.008153249,-0.012174439,-0.05688174,0.044930875,0.07180056,-0.08675996,-0.017958472,0.010388775,0.033531126,-0.0033423195,0.015404753,0.07066547,0.037977956,0.06634817,0.0658067,-0.024415145,0.0018239989,0.07485338,-0.03033172,0.04300118
-0.04367532,0.014300559,-0.0050359727,0.025156863,0.03453452,-0.071062796,0.02732303,0.012778133,0.049559835,0.06066349,0.049732585,0.009799879,-0.07690691,-0.003353629,-0.08694065,-0.08371119,-0.018453928,-0.08193289,-0.02538155,0.03437616,-0.06845215,0.0043392484,0.059673373,0.05621462
-0.044378687,-0.016176464,0.013890717,-0.042779982,0.0072427224,0.03881534,-0.025394049,-0.048626784,-0.052343495,0.022060867,-0.0025113628,-0.01803641,0.002012196,-0.040780716,-0.03982808,0.027665298,0.016842738,0.03946288,0.042418987,-0.010837042,0.040738504,-0.018837512,0.013256261,0.02898319
-0.011964918,-0.0049924734,0.016682722,0.03433436,-0.04979015,0.07744196,0.007530131,-0.0020285144,-0.04347124,0.028896661,-0.07155098,-0.061179865,0.0733024,0.0021658815,-0.021822484,0.004383266,-0.06738959,0.04866,0.03789914,-0.010398718,0.067251936,0.050927676,-0.038971037,0.013518706
0.08334852,0.08156726,0.03220429,0.07180831,0.049727738,0.054930717,0.08113502,0.04762076,0.004504142,0.05828755,0.06340907,0.067726724,0.056169245,0.07356516,0.037028544,0.026244199,0.07681948,0.07684737,0.035390522,0.08559865,0.05492381,0.050796866,0.07874535,0.0536912
-0.012952204,0.0665137,0.05430407,0.020826908,-0.07741176,-0.05121374,0.049550265,0.044589493,0.02506801,0.020823844,0.060201026,-0.08197665,0.04779642,-0.022733849,0.06338763,-0.016967082,-0.049281266,0.042727306,0.017335175,-0.03327389,0.072662234,0.040382486,-0.036987077,0.05914686
-0.012287269,0.00027320767,-0.039928604,-0.042989094,-0.053345133,0.009115305,-0.023704683,-0.037561953,-0.002094853,0.017229041,0.057477426,-0.010963856,0.05949863,-0.014594553,-0.019157125,-0.023493452,-0.06006249,-0.012469127,-0.041292656,0.07488715,-0.010912485,-0.054268796,-0.028933588,-0.07257447
0.05621956,0.04870703,-0.022121888,-0.005122241,-0.0077758725,-0.039794054,0.08197568,-0.012247358,-0.00897567,-0.0064430702,-0.019132286,0.006868069,-0.066024475,-0.011949416,-0.048832543,-0.074743375,0.03593435,-0.07267958,-0.06580639,0.0303094,-0.019106057,-0.04020318,0.0589452,0.06036875
0.016325451,-0.030335918,-0.048441242,0.006723082,-0.022738466,-0.05015111,-0.00528806,0.061706435,0.022434432,0.00930695,-0.04321083,-0.030911101,-0.004649327,-0.05230126,-0.026084451,0.012349467,-0.020215636,-0.037565287,-0.032491628,-0.014345289,-0.061864343,0.038433753,-0.02962948,-0.046613492
0.058614023,0.053061593,0.04460979,0.012742615,0.060649432,0.039456815,0.05356992,0.04862703,0.05601779,0.072062746,0.039679788,0.075851254,0.052152105,0.058174312,0.058810964,0.030487811,0.07301439,0.048901316,0.033366404,0.046735693,0.050735943,0.064342745,0.042894065,0.06273792
