Vehicles,airplane,ambulance,anchor,blimp,bus,canoe,car,golf cart,helicopter,hot-air balloon,motorcycle,rocket,sails,ship,stroller,submarine,tank,tire,tractor,train,truck,unicycle,van,wheelchair
0.033588316,-0.060525764,-0.0078043872,0.04063105,-0.06624509,-0.045982614,-0.041997064,0.00017444379,0.016609373,-0.0335766,-0.02356017,-0.010449025,-0.03176679,-0.023693772,-0.05576074,-0.05278008,-0.041249312,0.037306283,-0.04758968,-0.035998005,-0.052693304,0.038570907,0.0027568964,-0.07147485,-0.06500612
0.0098668095,0.022638595,0.004326613,-0.053292964,-0.02735386,0.036592364,-0.02021406,-0.0110096065,-0.0039543575,-0.039153397,-0.016411105,-0.049112085,-0.045075055,-0.02193937,-0.019758966,-0.053268548,-0.0026489447,-0.027669946,-0.02546869,0.0057747723,0.0044904053,-0.024274278,0.03749749,-0.049136944,-0.029385872
0.027878063,-0.05341355,-0.031842697,0.029125635,-0.047869995,0.074087165,0.029629458,0.044418633,-0.026793944,-0.069730684,-0.038026724,0.0006128324,0.056973,0.07050059,0.060891815,0.003653678,-0.026872357,0.008854673,0.06305969,-0.030398717,-0.016443469,-0.011787197,-0.02447624,0.045909505,-0.056860402
0.040397026,0.029915057,-0.070512496,-0.04648356,-0.0010632428,0.053735472,0.07011285,0.074139245,0.036454063,0.028296826,0.03648822,0.055158745,-0.034611467,-0.025046544,0.02571427,0.0494046,0.0201236,0.028463019,-0.054860238,-0.05526333,0.025443938,-0.044441126,0.06989444,-0.0027617828,0.052024703
0.004190259,0.037926544,-0.052473754,0.052893374,-0.05607647,0.05116227,0.07685083,0.0012627393,0.04337112,0.005418512,0.023782346,-0.00796844,0.04316104,0.00096085377,-0.055556595,0.06463556,0.05452255,0.04746385,-0.013725358,0.074657485,0.006300672,0.013444813,0.02322868,0.0050489977,0.07853833
-0.026073972,0.022632902,-0.058165986,0.018094094,-0.014058272,0.0077912873,-0.014083461,0.031953737,0.012053657,-0.008768014,-0.06080811,0.01566992,-0.015693977,-0.056821544,-0.0075493203,-0.020372005,-0.024628887,0.0106931105,-0.022085702,-0.03195894,0.032422386,0.01899311,-0.031021178,0.028243473,-0.057373974
-0.010553287,-0.0111472,0.066002436,0.0053995866,0.08092668,0.0061165867,-0.008842949,-0.019280195,0.02584967,-0.02662373,0.08356534,-0.04835958,0.010351889,0.02493772,-0.01442682,0.026496308,0.05690737,0.04192936,-0.0010120805,-0.03084652,0.03221727,0.02428567,0.058047246,-4.5048575e-05,0.05585976
-0.0028801637,0.035372335,0.0060073365,-0.0391218,-0.010519744,0.01075846,0.012031706,0.03417984,0.017264709,-0.035373356,-0.027125295,0.0062644444,-0.052177355,-0.012004853,-0.053678717,0.038043737,-0.0132878935,0.019268446,-0.059679672,0.01557115,-0.07659804,0.010004101,-0.04737697,0.04372134,0.05825805
0.09237926,0.04460247,0.075033784,0.013980829,0.079941116,-0.03471469,0.015840525,0.097120956,0.049297817,-0.020310538,0.08976618,0.022346068,0.08395772,0.077436306,0.020287078,-0.050874364,0.033930507,-0.034663085,0.08541849,0.07277609,-0.061343208,0.08612262,-0.070566215,0.06836797,-0.03540479
0.06738665,-0.009593232,-0.050085638,0.0143078435,-0.03167875,0.0032357497,0.0029339152,0.066634044,-0.000365561,-0.005754044,-0.014120734,0.07015249,0.024484431,0.04242209,0.0024524354,0.009989876,-0.035112344,0.055701766,0.044501886,0.027302561,0.010407783,0.01952448,0.04593025,0.008853034,0.041294266
