Non Mammal,ant,bee,beetle,butterfly,caterpillar,crab,dragonfly,eel,fish,fly,frog,goldfish,grasshopper,jellyfish,ladybug,lobster,mosquito,moth,octopus,scorpion,seahorse,shark,snail,snake,spider,starfish,turtle,worm
0.068809845,0.055341844,0.0078094914,-0.027531637,-0.03856943,0.059594054,-0.065902635,0.014887431,0.019970747,-0.019371562,0.05941791,0.031848844,0.06937265,0.02138587,0.016198162,-0.06851017,-0.03861221,0.05247366,0.059713177,0.030468237,-0.059226725,0.051911462,-0.007658964,-0.016315378,-0.030023288,0.071243204,-0.017127253,0.070752494,0.032109387
0.0062707504,0.063317336,0.06487519,0.06164724,0.0024506953,-0.012983997,-0.0008735001,0.047551095,0.031714886,-0.02342869,0.043247424,-0.006177751,0.043167446,0.054089587,0.020521121,0.054236904,0.042384643,0.05674322,0.039048918,0.048132475,-0.00027603924,0.06297679,0.044228632,0.0681026,-0.009303068,-0.026610391,0.03598246,-0.05472884,-0.03424137
0.0011137876,-0.031370584,-0.0018684256,-0.044415444,0.00034195025,-0.010404632,-0.012989017,-0.01586165,0.003884307,-0.025209643,-0.017128484,-0.019630976,0.016227951,-0.030266412,-0.054580174,-0.006582895,-0.039881308,-0.040103015,-0.013982364,-0.048387352,0.00097013824,0.010822879,-0.032547604,-0.032003507,0.010720321,-0.003923462,-0.0045749503,-0.033360347,-0.0013141675
0.041897275,0.013073033,-0.0292695,0.024119511,0.0468713,0.038579248,-0.061723776,0.04295873,-0.06360355,-0.061866477,0.024787169,-0.076740384,-0.05813014,-0.060835656,0.029535562,0.061751842,-0.07979472,0.012432019,0.0058505116,-0.042633954,-0.006737994,0.064504564,0.030549489,0.019157428,-0.027103564,0.0030940862,0.06333744,-0.043358866,-0.019847132
-0.06061472,-0.010998543,-0.026799385,0.008806384,-0.010563048,0.020424899,-0.036528517,0.051247314,-0.030467203,-0.007208856,-0.01524977,-0.017988494,0.063907124,-0.015906353,-0.06416699,-0.0037448136,-0.015980072,-0.022272104,-0.0044428296,-0.045844767,0.012759944,0.00690642,-0.021651845,-0.032023765,0.008368945,-0.015956853,-0.0643835,0.007891641,0.019136405
-0.013221,-0.047088295,-0.016202267,0.0070766844,-0.033172436,-0.056682974,-0.036080018,-0.030110024,0.063503966,0.013058268,0.03971087,0.011712507,-0.055261582,-0.009319137,-0.022793407,-0.000637045,-0.057265624,-0.059897635,-0.021774895,0.036940977,0.06756664,-0.046172097,0.04965406,0.02485622,0.03800748,0.062032633,0.04526024,-0.0065964595,-0.027204715
0.037104696,0.025968248,-0.01763802,-0.016251551,0.015102094,0.04147279,0.011276133,0.021422658,0.026360646,0.010386369,0.030049067,0.03517675,-0.0056444956,0.031633906,-0.02158986,-0.0712128,0.049356245,-0.05377592,-0.007864727,-0.057901572,-0.015702248,0.035247594,-0.06739265,0.06904869,0.027433487,-0.06878683,0.06259675,0.06512342,-0.040338505
-0.052590195,-0.061217427,0.047251873,-0.007986544,0.02332405,-0.025210699,0.046365775,-0.029662902,0.04074681,0.037721366,0.01361251,0.0012060342,0.032791007,-0.067650124,-0.009500913,-0.057571083,0.04115159,0.012561621,0.015097433,-0.042951826,0.077825084,-0.027353644,0.069066666,-0.077658445,0.025256997,0.066888615,0.008812409,-0.014645383,0.026465021
-0.06173805,-0.014636446,-0.06811954,-0.008719005,-0.07120465,-0.05028306,-0.06374463,-0.037975196,0.026703604,-0.02081989,-0.034997493,-0.03621156,-0.04289813,-0.06399103,-0.0468482,-0.06637309,-0.05006438,-0.07738563,-0.05027946,0.03884456,-0.027933288,-0.032840796,-0.0094155595,0.02705151,0.010056969,-0.062853865,0.00041217278,-0.06996809,-0.017668739
0.051854987,0.050394554,0.028619569,-0.024540944,0.050703812,0.047371034,-0.004769308,0.009707757,0.032730523,0.04001255,-0.045221176,-0.00457521,0.05520561,-0.005702441,0.030500822,-0.024892544,0.015534802,0.037562024,0.017036883,0.00042495196,0.04661605,-0.018262178,0.017675908,0.03214857,0.036348525,0.0039675506,0.01695659,-0.03217309,0.032015424
