Furnishings & Decor,ashtray,barrel,bed,bench,calendar,candle,chair,chandelier,clock,crib,curtains,desk,disco ball,dresser,fan,hammock,high chair,jukebox,lamp,magazines,mattress,mirror,piggy bank,pillow,radio,record player,rocking chair,rug,safe,speaker,stocking,stool,table,tray,treadmill,vase,wreath
0.05926674,-0.03277589,0.06636985,0.04069424,-0.06669867,-0.0033737577,0.04275667,0.032367963,0.029197097,0.012179613,0.054431804,0.01834942,0.0010301244,-0.007279424,0.034264788,0.009994104,-0.008992343,0.00692928,-0.02819436,0.016498437,0.004732594,-0.010783139,-0.02499067,0.0075170617,0.008736277,0.02033414,-0.04858862,0.01838415,-0.027923793,0.073771186,-0.032473434,0.019461254,0.013893961,0.0019211184,-0.054910447,-0.010422089,0.048439287,0.03300834
0.025998713,-0.04421394,-0.03209727,0.083722234,0.05088239,-0.055253685,0.028810307,0.056175984,0.019277357,-0.04950654,0.070562884,0.040056806,-0.018595513,-0.03145694,0.005900331,-0.014396463,0.053616155,0.062051564,-0.021292327,0.08161857,-0.04638786,0.06808502,0.032654807,-0.06159738,0.069968365,0.02452383,0.029666185,0.075605705,0.07354767,-0.011425371,-0.002023151,-0.036022935,0.0779016,-0.026792264,0.014274622,0.040653527,0.03826981,0.021579906
0.018830113,-0.047306083,-0.018671514,0.013782723,-0.037845083,-0.055962756,0.038995836,0.030111928,0.04037853,0.01653458,-0.04874583,-0.031625833,-0.028487703,0.0031141075,-0.031966917,0.0574756,0.026364025,-0.014650053,0.019831425,0.053694945,-0.039204538,0.0038393375,-0.030700695,-0.0023344115,-0.02478781,-0.04746789,-0.009743082,0.006362092,-0.0067885695,-0.08222352,-0.0075454363,0.029200256,-0.04443458,-0.031762235,-0.03939242,-0.047397673,0.012806162,-0.024101028
-0.040770143,-0.0049749264,0.012615714,0.026317667,-0.055071943,0.051284466,-0.007589256,-0.047632664,-0.07252545,-0.024209745,-0.005598217,-0.017013473,0.020184273,0.0071608694,-0.03751177,0.043188933,-0.036828324,-0.04122104,-0.018676737,-0.027715137,-0.05749728,-0.0020252743,0.025494564,-0.038445838,-0.028552197,0.020525029,-0.06583201,-0.054950885,0.009502494,0.081074975,-0.010388883,-0.0013563028,-0.0052451235,0.006466171,-0.03434701,-0.016070005,-0.03781787,0.010738753
0.06494458,-0.011636493,-0.049271777,0.06217801,0.0659733,-0.04184917,0.061974257,-0.058402468,0.01819876,0.04160152,0.055708487,0.017294927,0.037175156,0.042965185,0.061394952,0.040640477,0.064350665,-0.05161383,-0.024241183,-0.0045274603,-0.06103368,0.052063547,-0.014493568,0.031138586,0.042796258,0.032379664,0.06043844,0.057509486,0.05736044,0.024685005,-0.06843944,0.058521748,-0.082133286,-0.08539243,-0.08134438,0.060224447,-0.04917885,0.037131615
-0.00039231527,-0.030373134,0.008822491,0.0029316728,0.017505,0.0065448508,-0.068598785,-0.054713722,-0.018184504,-0.030261194,0.023352658,0.019877167,-0.0038339102,-0.044221897,-0.033621214,0.013848941,-0.021079693,0.003936172,0.058407847,-0.013775828,0.014935683,-0.03989334,0.017273853,-0.012997433,-0.028937152,-0.016748946,0.058183752,-0.033764143,-0.021209572,0.032714278,-0.0010699162,-0.038926527,-0.011176257,0.038091492,-0.00474458,0.02492344,-0.038308524,-0.009111222
0.02673678,-0.025403978,0.038154993,0.010633486,-0.02328733,-0.03557049,-0.023865437,-0.008178053,0.0081516355,-0.043053694,-0.079350084,0.060853023,0.015583802,0.04775117,0.01043812,0.045951936,0.071771644,-0.0070753554,0.021917641,0.03023299,0.014379078,0.013228772,0.015998203,-0.032292128,0.05276517,-0.025295796,-0.018151805,-0.03356676,0.034300495,-0.0107374,0.013297848,0.02815039,-0.06203924,-0.029305764,0.033526905,-0.021768915,-0.053225514,0.016092129
0.004813621,0.04655662,0.07288737,0.052106526,0.06928264,-0.026408935,0.03250824,0.06552087,0.045023616,0.019773645,0.05194891,0.020523932,0.077326894,0.0356743,0.060864333,-0.012177195,0.077389844,0.071912564,0.07793802,0.055664163,0.07240363,0.055903576,0.017392227,0.06677779,0.03632862,0.00428729,0.004412036,0.052650377,0.06516619,0.0030953435,0.052716915,-0.0031043214,0.047711447,-0.00030289072,0.08129393,0.021570073,0.047857396,0.04721628
-0.0070980354,-0.06338247,-0.049633816,0.026679615,-0.062167402,0.05202911,-0.04463427,-0.015891483,0.017696144,0.058807272,0.057709172,0.0707728,-0.0626822,0.064640135,-0.009339839,0.05400906,0.05840876,0.029952457,0.0069477027,0.056703962,0.04066057,0.05410709,-0.03952215,-0.019237459,-0.07100537,0.063719556,-0.034578253,0.0067114662,0.06867756,-0.00577512,-0.0539018,-0.021664685,0.069404855,-0.010468399,-0.07966213,0.044107545,-0.025286146,-0.042634644
-0.013947187,-0.014152191,0.035064608,-0.012367725,-0.0071539795,0.06959603,-0.04842166,-0.013455733,-0.027205504,0.011641458,0.020459732,-0.05701229,-0.00065129,-0.045029853,0.007917854,-0.07395229,0.01810091,-0.03802802,0.056194264,-0.028599456,-0.029312454,-0.03130702,-0.027316343,-0.0006085167,-0.039309446,-0.020441879,-0.0149946045,-0.029369216,-0.04890771,0.06478353,-0.010575614,0.025400702,0.033570956,0.039209105,0.057574037,-0.02779846,-0.042068314,0.02667605
