Mammals,bat,bear,bull,camel,cat,cow,deer,dog,dolphin,elephant,fox,giraffe,goat,guinea pigs,horse,kangaroo,lion,monkey,moose,mouse,pig,porcupine,rabbit,raccoon,seal,skunk,squirrel,tiger,walrus,whale,wolf,zebra
0.019415079,-0.023176812,-0.015182053,-0.031390894,-0.014439586,-0.008653098,-0.0203046,-0.069702946,-0.01337783,-0.050411407,-0.024446387,-0.017873826,0.063890874,0.05008991,0.0344265,-0.042460125,0.026104717,0.01646919,-0.07095095,-0.06462119,0.039250195,0.05105827,-0.039021675,0.0072513456,-0.0061463127,0.05015172,-0.021229776,0.034067843,-0.02323602,0.03732203,-0.026602056,-0.0029003955,0.07571292
-0.04287394,-0.0036149875,-0.07549813,-0.07400903,-0.07811438,-0.050496686,-0.072337404,-0.07066187,-0.02812681,-0.07222086,-0.07802403,0.025116066,-0.04798756,-0.061199203,-0.007099583,-0.020915117,-0.053270906,-0.0742654,-0.0010852469,-0.044701807,-0.030764617,-0.073326886,0.0107055735,-0.009475559,0.03461657,-0.027252357,-0.038883533,0.030265002,-0.013127978,-0.078799546,-0.08269362,-0.075294614,-0.044229414
-0.034481674,-0.04115773,-0.07694894,0.014376738,-0.007822689,-0.008155779,-0.03490364,-0.036458187,-0.030288536,-0.008781874,0.045371298,-0.00451013,0.04252179,-0.023404157,-0.0030061738,-0.073684394,-0.046731144,-0.04520097,-0.029676812,0.0222536,0.07195041,-0.06409211,-0.07671629,-0.062409665,-0.074108794,-0.027486917,-0.06295675,-0.069653556,-0.031314857,-0.057386067,-0.07721049,-0.0028891957,-0.031308454
-0.045124855,0.06461253,0.012218971,0.02027912,0.074301556,0.016784599,-0.044834286,-0.0033837047,-0.00669056,-0.05964997,-0.025683027,0.01989319,-0.06183946,0.07016734,0.0758699,0.08804708,-0.0012253645,-0.014794827,-0.05653351,0.04730915,-0.06081866,0.0828516,0.024477383,0.06367988,-0.016829692,0.05621661,0.016357282,-0.010752018,-0.03944431,-0.037019745,-0.05353873,0.042578477,-0.0029656903
-0.057376362,0.052441817,-0.069593266,-0.058302693,-0.04196547,0.016260158,-0.022587625,-0.06412376,0.009615967,-0.017237505,-0.07202238,-0.027190965,-0.059744716,0.07670284,-0.012182852,0.014657777,-0.022381252,-0.07618156,0.04062134,-0.03031235,0.016403727,0.04010931,0.0659565,0.037768375,0.0042292546,-0.033907983,0.068114914,-0.0316459,-0.04119705,0.049166773,-0.016140174,-0.044896524,0.054155137
0.004209604,-0.009820884,0.0216376,0.045994386,0.021213787,0.038873684,0.01105168,0.062752604,0.026483377,-0.0742809,0.0357166,-0.0144747235,0.02530929,0.043834124,-0.001801546,0.032515094,-0.0475351,0.026421484,-0.04391729,-0.03038734,0.018795522,0.005709415,0.05719974,0.046860635,0.024560886,-0.011509323,0.03098548,0.069881536,-0.003017204,-0.014072562,0.03860495,0.08016176,0.047935188
0.021493291,0.022333331,0.06289557,-0.043276366,-0.034234226,0.057077244,-0.023731329,0.02752944,0.053939812,0.015693007,-0.046971496,0.018233733,-0.041055474,-0.024871016,0.005785366,0.040730275,-0.04112194,0.063727334,0.021576524,-0.0033601336,0.054374985,-0.01793885,0.056718305,0.008451907,0.007818414,-0.057901282,-0.028956033,-0.065801054,0.0110104475,-0.02301352,-0.043514352,-0.04348213,-0.0029900656
-0.0066399914,0.0005495845,-0.011732688,0.021538777,-0.0445964,-0.010592934,-0.039570853,0.0009560763,0.0025026738,-0.049807973,0.074022606,0.0036438783,0.06285689,-0.0061693294,0.045778014,-0.042226892,0.010745191,0.05237827,-0.014550831,0.018481914,0.052059803,-0.022397898,0.06940647,-0.031719953,0.010637689,0.014910626,-0.044004858,0.010978917,0.044312343,0.04716609,0.012165451,-0.025577443,-0.026394961
0.03183572,-0.010706195,0.009781044,0.07282484,-0.06878699,0.0211831,0.06410692,0.030445836,0.062109534,0.07400377,0.007191235,0.027875867,0.06397494,0.022176102,0.010649442,0.08602153,0.049655646,-0.017241446,0.054781124,-0.01876569,0.048295848,0.06775218,0.040981762,0.01463261,-0.004067207,0.045140333,0.035647284,-0.060136832,0.04142341,0.053504,0.05183127,-0.0074274777,-0.0022330962
0.061410658,-0.060269978,-0.026629092,0.06147244,0.035669416,-0.020431828,0.024464648,-0.057415888,0.026347743,0.053005934,0.007710792,-0.012229346,-0.036277745,0.0021370987,0.0065079215,-0.0076999054,0.004293423,0.02547853,-0.04048577,-0.031341165,0.030826006,-0.0028221118,-0.0076396167,0.039355826,-0.027223166,0.024669843,-0.017234905,-0.02986818,-0.0027115773,0.0031144642,-0.01436257,-0.020758873,-0.007462481
