Musical Instruments,bagpipes,banjo,bell,clarinet,drum,guitar,harmonica,harp,piano,saxophone,trumpet,violin,xylophone
-0.07000178,-0.063133985,0.0025807687,-0.04876626,-0.055130146,-0.052676536,-0.06376447,-0.043277916,-0.048714925,-0.04887982,-0.06119958,-0.062243365,-0.04634289,-0.03807143
-0.04152278,-0.030767264,-0.067893274,-0.04969002,-0.05405081,-0.050170552,-0.03647583,-0.042000465,-0.058337085,-0.068295226,-0.06600404,-0.07309954,-0.060173858,-0.021084864
-0.00395538,-0.07087864,0.017461957,-0.07366167,0.009203733,0.01174312,-0.070998326,-0.06074981,-0.044243723,-0.0635102,0.039140042,-0.066244446,-0.054685503,0.016318535
0.008214877,0.06752516,0.067775816,0.061340634,0.004358883,0.040383387,0.03915452,-0.0016331,0.030634113,-0.009298355,0.028657177,0.063227236,-0.038903136,0.044003285
0.021690566,-0.07692591,0.039263688,-0.003952104,-0.060183387,-0.073134854,-0.04248477,-0.02286411,-0.018240627,-0.048698395,-0.017509934,-0.052413914,0.030799879,0.004211122
-0.077551015,-0.021950645,-0.07493499,0.052054748,-0.014502331,-0.047361735,-0.057646643,-0.062340565,0.020698335,-0.0777818,-0.03487785,-0.0040740566,-0.06871469,-0.071285404
-0.022298932,0.025117347,-0.043852918,0.054921333,0.060936935,-0.030845936,-0.010390234,-0.042935807,-0.052017625,0.02589264,0.035080764,0.036471706,-0.031891614,-0.02217461
-0.051611703,0.049980555,-0.056596667,-0.0007624033,0.06981675,0.0574657,-0.058073558,0.067695096,-0.0454185,0.035584886,0.056109753,0.07836907,-0.029051637,-0.059313405
0.056159426,0.07376122,0.021370446,0.06822715,0.068616465,0.05742858,0.023268603,0.012420085,0.008664043,0.047511503,0.05101675,0.0559568,0.028982481,0.07599164
-0.007370568,-0.053724065,0.012259519,0.012340389,0.027077787,0.020032259,-0.011093192,-0.0233636,-0.06198742,-0.023612866,0.04567028,0.030490147,-0.014822175,0.030201383
0.063937046,-0.019022847,0.049017947,0.0019571579,0.017989792,0.044902526,0.052174218,0.06315722,0.039828766,0.036925033,0.053276032,0.008956423,-0.0094417585,0.050596114
-0.0014135434,-0.0080456035,-0.023853147,-0.058892444,-0.023421539,0.0056786905,-0.02886269,-0.021994136,-0.06288987,0.03212136,0.0072368328,-0.023292154,-0.0142348325,0.04035023
0.045102052,-0.0058361874,0.05785403,-0.01619676,0.048546083,0.0056780935,0.067009985,0.04758898,-0.023126306,0.06985601,0.03374495,-0.00540916,0.035015337,-0.045809053
-0.0047142934,-0.03933943,-0.026229313,-0.045638997,0.050547156,-0.008651011,-0.03183007,-0.0044297227,-0.045011405,0.012282396,0.0043124524,0.030387754,-0.04596403,-0.041017067
0.051093563,0.04666846,0.033492617,-0.042210594,-0.003870987,-0.017897706,0.047925804,0.0025832246,0.020288276,0.009786013,-0.020138355,-0.0113562,-0.014146285,0.002121438
0.027598513,0.019680092,0.0669039,-0.06301245,0.003940503,-0.048269555,0.06694911,-0.05574818,-0.060129754,0.021299094,0.037542213,0.0074761137,0.006899438,-0.06725981
-0.0017337186,0.003094359,-0.041337226,0.06035664,-0.06902371,-0.007099826,0.034457944,0.030359859,0.020210423,0.0672536,-0.05266589,0.02301821,0.051102642,-0.033613667
-0.020451603,-0.043493945,0.058036815,0.04904889,-0.051840797,-0.01940654,-0.05867138,0.02267058,0.024217796,0.07270907,0.023298254,-0.027258638,0.052444965,0.03840199
-0.0072222,-0.003273148,0.0062460904,0.062234927,0.034208734,-0.02999489,0.049343333,0.0038726428,-0.017033048,-0.012533422,0.058125976,0.074035324,-0.05796729,-0.009408739
0.020225478,-0.059009,0.03575698,-0.07150669,0.008583835,-0.059661802,-0.04107617,-0.053523067,0.010463222,-0.06705047,-0.042548627,-0.039613504,-0.065315016,0.006870734
-0.010112504,-0.0647046,-0.04633938,0.038376976,-0.063801914,-0.061223567,-0.0211144,0.0058482466,-0.037606083,-0.018189838,-0.0677017,-0.070670575,0.0061391015,-0.054330125
