furnishings,barrel,bed,bench,chair,closet,crib,desk,drawer,dresser,globe,hammock,highchair,lamp,mattress,mirror,picture,pillow,plunger,safe,sewing machine,statue,stocking,stool,table,treadmill,vase,wreath,radio
0.013737187,0.017848521,-0.033953533,-0.011584768,-0.018597389,-0.036362115,-0.05312126,0.003514193,0.024515787,-0.054087393,-0.03613807,0.0631143,-0.028268479,0.010903904,0.031882,-0.03607132,-0.011623609,-0.04096081,0.06409218,-0.013840513,0.041897424,-0.040602334,-0.022599863,-0.008896949,0.013422453,0.020460283,0.05182356,0.000564863,0.016903598
0.027946023,0.027635686,0.03332686,0.037401553,-0.019917738,0.021307193,0.05440338,-0.02750227,0.07700178,0.044599988,-0.011365519,0.03450625,0.030430486,-0.006829529,-0.008802846,-0.04526495,0.017801592,0.073457696,0.064444825,0.025837883,0.04615559,-0.000998267,0.038904965,-0.019843347,0.040810324,0.029020252,-0.028984193,0.05534967,-0.018136946
0.065041654,0.017741708,-0.010173149,-0.040715393,0.001276896,0.00792806,-0.026591782,0.006632691,-0.006892393,0.0405725,0.023713695,0.039170977,-0.043607507,0.0402612,0.0545907,0.01749923,0.08301116,-0.007688955,-0.009673817,0.016732404,0.004935956,-0.006405023,0.030924983,-0.052224755,-0.030286435,0.009711603,0.019085906,0.06871263,-0.036620393
-0.022807024,-0.031897455,-0.031409428,0.037234735,0.003491792,-0.07601109,-0.02212301,-0.0254349,-0.014342942,0.004708138,0.07350728,-0.017175993,-0.003043113,-0.011253256,-0.00241564,0.064057484,0.03752572,0.002785149,-0.04277686,0.017458001,0.00317485,0.059211917,-0.0747035,-0.031454895,-0.015373491,-0.02238438,-0.045452666,-0.030917747,0.02433327
0.007403689,-0.040349886,0.003267929,0.013093814,-0.006602823,-0.06880769,-0.06930909,-0.011104622,-0.0433989,-0.023980914,-0.005920667,-0.042546976,0.012250025,-0.060519993,0.02516562,0.018998802,0.011430457,-0.050750088,-0.05892719,-0.034639694,-0.041440915,0.003074611,-0.002456496,-0.001844178,0.065939784,-0.04517796,-0.020182408,-0.043959677,-0.08583497
-0.000984607,0.059943814,0.00634202,0.02728764,-0.023250503,-0.05496144,0.00992507,-0.019352108,-0.03844811,0.002157529,-0.04945149,0.062288478,0.017052015,0.023260893,0.050338235,-0.04787988,-0.007811008,0.07421067,0.013896797,0.03008012,0.07430204,0.022226024,-0.018527552,0.007925069,-0.03925888,0.03234609,0.06826241,-0.023177378,0.03711788
0.03454373,-0.049683355,0.05012095,0.042741034,-0.049644306,-0.01032365,0.027020654,-0.064702414,0.05104345,0.021737024,0.057165448,0.07523385,-0.03950149,0.054452024,0.05062811,0.048144676,0.00985066,-0.024109824,-0.06799593,0.059299126,-0.026117504,-0.019993715,-0.043494686,-0.014026153,0.031538676,0.02057134,-0.007269033,-0.01648108,-0.04349466
-0.010703629,-0.002409042,-0.047407903,-0.008683011,-0.06455729,-0.066435196,-0.023796977,-0.044722144,0.003811848,-0.003327145,-0.017718347,0.004382536,-0.020686183,-0.024763012,0.00809554,0.003197723,-0.042810995,-0.040066592,0.00247347,-0.011470172,0.041365143,-0.07061089,0.033115186,0.017686438,-0.053737823,0.039020985,-0.05870267,-0.031391222,-0.06465289
0.05264754,0.06694733,0.07687653,0.0452951,0.007629405,0.05525581,0.05914559,0.047595687,0.008908981,0.062456895,0.06646423,0.03166942,0.043570008,0.062388893,0.038606346,0.07519416,-0.001441059,0.07509627,0.008084384,0.03239662,0.001408605,0.07046677,0.03466177,-0.035854656,0.012348215,-0.05648609,0.057494644,0.03386418,0.009397561
0.029387785,0.05571244,0.012768843,0.014701955,-0.03903184,0.0675708,-0.03759834,-0.0356053,0.022812186,-0.04560092,0.040825676,0.011208748,-0.033152927,-0.031649206,-0.014097272,-0.05266555,-0.036525983,-0.05532484,-0.07430725,0.016781682,-0.009641768,0.008068688,0.015160695,0.019274747,-0.023076046,-0.04577,0.018946901,-0.014477165,0.0663049
0.013234299,-0.07176964,-0.030401057,0.003041675,-0.047895998,0.09049053,0.00227813,-0.044925407,0.015165891,0.0802077,0.017129866,0.078945704,-0.003301258,-0.014372648,-0.019073687,-0.034546148,0.019148346,0.062950395,9.44E-05,0.018259006,0.076672606,-0.071699716,0.000361667,-0.027010543,-0.042074475,0.007288052,-0.030299198,0.054910444,-0.001757309
