Fruits & Vegetables,apple,asparagus,avocado,banana,blueberry,broccoli,carrot,cauliflower,celery,cherries,coconut,corn,cucumber,eggplant,garlic,ginger,grapes,kiwi,lemon,lime,onion,orange,pear,peas,pineapple,plum,potato,pumpkin,raspberry,strawberry,tomato,watermelon
0.0599744,-0.043447085,-0.010596022,-0.00019380554,0.026479235,-0.009938268,5.5038934e-05,0.04942547,0.036130887,0.051272493,0.03290837,0.035949197,0.011733636,0.025297241,0.043483015,0.02396378,-0.00215271,0.019755729,0.039341673,0.015092571,-0.03720467,0.00361701,0.03196807,-0.018047107,0.007995653,0.03993964,0.022180313,-0.0058246544,0.012195643,-0.00026789252,0.004034152,0.013773416,0.020717047
0.026363438,0.015255903,0.05719441,0.03669891,0.07644714,0.03236143,0.07214831,0.026541496,0.07406849,0.068154216,0.035879977,0.0680748,-0.044157043,0.04472136,0.06553121,0.054621167,0.026966719,-0.019551493,0.009212907,0.042101555,0.013432456,0.074769326,0.059763514,0.0033185135,0.077444606,0.042403895,-0.045542933,0.05712843,0.06793132,0.014518935,0.036573432,-0.008268841,0.034238365
-0.03641269,-0.019910928,0.019869002,0.05394058,0.004065994,0.006146151,-0.05117709,-0.049781222,0.02766029,-0.043012913,0.017366184,0.022079108,-0.017391942,-0.053765148,0.014678597,-0.027776264,-0.016628481,-0.010440476,0.0119543765,-0.010774885,0.011344381,0.055088263,-0.025379168,-0.037257668,-0.026885003,0.05130126,-0.042308513,0.01780922,-0.023959953,-0.013233165,0.008588775,-0.023181604,0.016993638
-0.027597312,-0.00087351765,-0.04677005,0.01732005,0.03488417,0.027816052,0.017829305,0.070022315,0.015337706,-0.02397966,-0.07243452,-0.0010350472,-0.011692209,-0.043220036,-0.06280864,-0.001826424,-0.025782013,-0.043514814,0.053597704,0.010460043,-0.006814006,0.01431156,-0.007991745,-0.009877333,0.013379951,0.054889113,-0.060004056,-0.006386522,-0.00088976126,-0.051097445,-0.00189734,-0.022476379,-0.056745984
-0.017824722,-0.02389866,0.023641888,-0.039315194,-0.016268196,0.041537616,-0.0028577906,0.061354667,-0.006205707,-0.05287682,0.0002027919,-0.047977883,-0.04983882,0.059732843,0.008377155,-0.039113283,-0.011852588,0.049865186,-0.058648236,-0.017823473,-0.06919536,-0.032647084,-0.060862854,-0.047026195,-0.033393122,-0.0415591,-0.017200068,-3.1129493e-05,0.06816791,-0.07098799,0.012696885,0.0019701472,-0.031861853
-0.070214614,0.088600144,0.035554215,-0.012377922,-0.009715705,0.052813355,0.034111477,0.06567395,0.021766825,0.051046677,-0.024505911,0.07280817,0.053114444,0.015623811,0.018383788,-0.011851647,0.05619935,0.032698933,0.06656626,0.011962608,0.044300128,-0.064493656,0.045525666,0.060640715,0.05791713,0.06076602,-0.03828952,-0.026683412,0.0591691,0.052604884,0.025530769,0.006050855,0.030181158
-0.045231465,0.0060272794,-0.03679604,0.066199414,0.07509115,-0.015110574,-0.04425906,-0.06007184,-0.07384654,-0.06221903,0.049569108,0.049224596,-0.029273404,-0.06604045,-0.053711787,0.063368246,0.04237035,0.01286543,-0.07092337,0.072420605,0.032832492,0.023122063,0.0042696535,0.0018150994,-0.06578475,0.06951447,-0.027104465,0.06597821,-0.04205938,-0.0027853085,0.043323506,0.07202418,-0.05309968
0.037227932,-0.04430724,0.053172942,0.022685627,-0.056256227,0.00739393,0.031540066,0.021489916,0.0372076,-0.0506759,0.03521409,-0.05249346,0.048230156,0.0045859036,-0.061662745,-0.036976226,0.0081422785,0.04835336,0.024909526,-0.06936289,-0.056684107,-0.055658516,-0.025740955,0.036120493,-0.026571902,-0.052531503,0.012278434,-0.036225256,-0.064018145,-0.06364201,-0.02326014,-0.06513079,-0.03902577
0.013864583,0.045000277,-0.013958413,-0.03863758,0.023938438,0.020998996,-0.073143825,0.040810246,-0.053381074,-0.01878411,-0.018736653,0.050403655,0.025964936,0.057255562,-0.0004405668,0.04932175,0.06404169,0.041887086,0.05465938,0.04003409,0.039530445,0.07601051,0.024736388,0.045271475,0.00010930695,0.026984598,0.042457234,-0.04658244,0.070610076,0.03843692,0.014875418,-0.015056382,0.070472576
-0.051064674,-0.013563687,-0.026118042,-0.02853506,-0.07414475,0.041164152,0.019154035,0.07076884,-0.04278383,0.06559745,-0.070392564,-0.05057996,0.07262395,-0.010642282,-0.013202124,0.022212338,0.020658782,-0.073187165,-0.025151799,-0.056125272,-0.027972735,-0.049699355,-0.04193512,-0.05874112,-0.0026229871,-0.048929524,0.0067537674,0.032011475,0.05364568,0.01806092,-0.04810823,-0.049256645,-0.06612162
