Mythical & Mystical,alien,angel,arrow,bow,crown,dinosaur,dragon,fairy,genie,ghost,halo,hook,king,knight,map,mermaid,monster,mummy,pirate,queen,skeleton,snowman,sword,treasure chest,unicorn,witch,wizard
0.025995063,0.07189582,0.08222121,0.02789513,0.0632935,0.05329229,0.051440794,0.043180365,-0.04464236,-0.052440323,0.01580344,0.0837139,0.0296483,0.016664116,0.025530046,-0.047335293,-0.029772332,-0.019347055,0.080970705,-0.043093447,0.048692398,0.042236228,-0.016353296,0.039801233,-0.02881106,-0.0005752199,-0.002538231,-0.018979892
0.0795311,0.06598391,0.051914573,0.054439913,0.0063710287,0.06832634,0.07832075,0.08875268,0.075026475,-0.010663656,0.053932924,0.08358373,0.07878006,0.057983693,0.08649708,0.050284505,0.07985365,0.08942618,-0.0035631368,0.07246508,0.050592437,0.047823813,0.057032146,0.07531704,0.071672864,0.074915715,0.054177262,0.07080116
0.0073062163,-0.044867564,0.01311431,-0.032278217,0.028621215,0.039024495,-0.010869955,-0.044637464,-0.060163777,0.049235284,0.023000296,0.019480186,0.068543024,-0.052466653,-0.03401317,-0.033892535,0.024774883,-0.054379877,-0.074262396,-0.043818634,-0.05678466,-0.00427485,0.0049640443,0.013471569,-0.005128483,-0.047293406,0.09217192,-0.038375597
-0.010608475,0.0747157,0.081765376,0.083197095,0.08436517,0.08673754,0.073016755,0.086986326,0.07209751,0.072940014,0.07831756,0.07579693,0.08298126,0.0849461,0.078357264,0.08943677,0.060346514,0.07336873,0.046756394,0.07695277,0.07838429,0.07719398,0.050589655,0.07995715,0.031517647,0.06864487,0.07129599,0.085129656
-0.0038892177,0.07796242,0.05559529,0.054711852,0.051846325,0.055111684,0.055061813,0.08090913,0.059154652,0.0076530813,0.026987357,0.047200598,0.049472503,0.08104614,0.06418966,0.08045187,0.05817785,0.07985372,0.011814134,0.022092162,0.06896299,-0.0077227433,0.055783443,0.07751385,-0.0091390265,0.0407171,0.048576653,0.06611153
0.035834268,-0.03649913,0.051384002,0.020446137,0.017090645,-0.052742865,0.073395185,0.08445421,0.03771187,0.07051724,-0.001073541,-0.06337872,0.014636252,0.05478432,0.060640756,-0.015597818,0.037446454,0.025805319,-0.062232543,0.04956843,0.045542475,0.033297516,0.014226317,0.07181975,-0.00843468,-0.038254753,-0.006732034,0.07925976
-0.024475705,-0.03477482,-0.019977603,0.042305756,0.043430533,0.024828807,0.025409678,0.032106232,0.01967191,0.05699041,0.04866968,-0.013031517,-0.012967443,0.047928773,0.066088825,-0.058130026,0.03938061,-0.011474199,0.03344108,-0.028267456,0.017074468,-0.07069701,0.028414346,0.013782381,0.052042995,-0.013358179,-0.05870489,-0.04630603
0.0078113973,0.059022248,0.055823833,0.033333354,-0.0007415494,-0.041661818,-0.020135045,0.028704211,0.039709702,0.049581174,0.034424197,0.020665832,-0.042784106,-0.021830108,-0.001179798,-0.0064913346,0.048643213,0.026695821,0.034767907,-0.024778683,0.016032547,-0.027100256,0.059625827,-0.039929252,0.04081501,-0.0077238036,-0.012383808,0.015583556
-0.026368348,0.069600835,0.005281688,0.008564134,-0.034599878,-0.07621186,-0.07508496,-0.08591805,-0.064337954,-0.009453567,0.023580907,0.0026348245,0.022223517,-0.08746634,-0.08407028,0.057343528,0.016503656,0.014507838,-0.05960748,-0.05096153,-0.08352842,-0.04920668,-0.0015950769,-0.059630353,0.0067496034,-0.013654876,-0.04991258,-0.081785604
0.014877465,0.045006923,0.037424356,0.06301746,0.061477277,0.068425335,0.035737675,0.02575594,-0.0047255014,0.05366411,0.014097016,0.017347785,0.057586297,0.03359013,0.062100552,0.071840994,0.055317935,0.015706306,-0.0024936805,0.053131483,0.043098968,0.06558653,0.050912023,0.051996503,0.06018909,0.0544104,-0.016223347,0.05224192
0.021147346,0.07672534,0.063878335,0.03628195,0.030970607,0.037699908,-0.07496171,-0.020286126,0.025426162,-0.015013192,0.05269404,-0.0058974097,0.07867182,0.024743302,0.055791818,-0.03974021,-0.064806335,0.008169316,0.05045521,0.047346774,0.07765317,0.009462367,0.058093186,0.08474646,0.05157261,-0.048266273,0.0028301752,-0.05819329
-0.013991154,-0.05874097,-0.04656318,-0.019239327,-0.02559335,-0.049144953,0.004311183,-0.02912611,-0.0719656,0.0026345195,-0.012835978,-0.071292244,0.032694526,0.08744406,0.026452033,-0.022392472,-0.036393296,-0.0071248477,-0.058409087,0.030005427,-0.08034994,-0.0024467283,0.07288747,-0.054464817,-0.016015617,0.01822815,-0.05027652,0.05572158
-0.06867739,-0.055841926,0.016792253,0.053953573,0.070295475,-0.049759183,-0.07714596,-0.00557545,-0.057636485,-0.07690621,0.046897165,0.00874279,-0.032521345,-0.020646535,-0.010324001,0.058253165,-0.06818268,-0.0587539,-0.0803743,0.031684782,-0.049476452,0.04043498,-0.07683962,0.07938285,-0.07883689,-0.046746977,-0.06537279,-0.07459923
-0.045522097,0.013732107,-0.06598354,0.046370577,-0.046071388,0.05487004,-0.03100042,-0.016435532,-0.015665395,-0.05958474,-0.053955898,0.029918617,-0.069092005,-0.0696045,-0.028878832,0.06506842,-0.029499264,-0.017028162,-0.0845432,-0.0123626925,-0.030565055,-0.052913565,-0.07250585,0.024828143,-0.030513313,-0.04053018,-0.07025914,-0.055678554
-0.026343951,0.019492704,0.050023474,0.053349342,0.05386319,0.05378577,0.047093548,0.074864,0.027316872,0.030400041,0.046586264,-0.00075612124,0.057969976,0.073496334,0.030427866,0.035033535,0.013327412,0.0709166,0.041908737,-0.016022656,0.026703596,0.046211895,0.04172497,0.04242216,0.023483438,0.025848143,0.022239665,0.013099792
-0.028359994,-0.025581028,0.017132726,0.00505726,-0.02356665,-0.07643337,0.042765487,-0.0081261145,-0.0186666,0.018649543,0.0572897,-0.040364906,-0.041945145,0.036761776,-0.046969205,-0.05387312,-0.04682164,-0.022169022,0.028062364,-0.027393373,0.024442073,-0.016073637,-0.0059250486,-0.038487624,0.0332059,-0.019869538,-0.043652054,-0.027119944
0.016434895,0.020577917,0.05581091,0.05252834,0.034497302,0.035155706,0.044351324,0.04173504,0.015948383,0.02376212,0.0430378,0.059549626,0.012367086,0.068473235,0.07101382,0.05691024,0.028611548,0.051859237,0.052533515,0.075280815,0.06496932,0.034431558,0.03463452,0.013866996,0.0046805344,0.066174515,-0.015739646,0.03435802
0.00903111,0.0032308453,0.023465302,-0.05504675,-0.019294973,-0.03550448,-0.032218143,-0.030113138,0.021560004,-0.02756284,-0.032142173,-0.011803801,-0.051088918,-0.07266456,-0.04471457,-0.04738286,-0.0376619,-0.044051595,-0.016228309,-0.031752665,0.0007692094,-0.065797836,-0.052860796,-0.026038777,-0.006842909,0.053938195,-0.047011096,-0.035816144
-0.01456621,-0.032231335,0.0068041664,0.041258875,-0.0060501248,0.008571764,-0.05735432,-0.02835933,-0.026100526,0.037072573,0.05564315,0.01230809,-0.024624558,0.04041998,-0.03391703,-0.036243428,0.034451734,0.013013908,-0.05709339,-0.044336844,-0.020345312,-0.06249125,0.00013064308,-0.060796145,-0.053539332,-0.043774813,0.0538768,-0.070584804
-0.017798634,-0.0043224813,0.03466597,0.020733587,0.009378929,0.07970133,0.01265683,0.04217442,0.057145078,-0.0037173273,0.049112022,0.07751893,0.06289625,0.06973256,0.07961011,0.04413785,0.008908481,0.07202777,-0.00016058936,-0.02680329,0.06542463,0.024952022,0.045518517,0.07371357,0.06731763,-0.035487838,0.05945671,-0.0062564034
-0.050451882,0.08107708,0.06510442,0.06248282,0.068058014,0.03505144,0.04164507,0.040960476,0.032197557,0.04229578,0.059532925,0.04865381,-0.0040405933,0.058659058,0.034552034,0.060558163,0.06107838,0.07053127,0.022596816,0.05747576,0.03285501,0.03672788,0.042379227,-0.0018832887,0.035042956,0.015201573,0.044345632,0.045375213
-0.08177165,-0.08226438,-0.069348484,0.0402981,-0.04028131,-0.07839283,-0.06963508,-0.03883863,-0.030615818,-0.059040166,-0.06887047,-0.08137472,-0.035271652,-0.066418104,-0.04971866,-0.018006366,-0.04811268,-0.0450351,-0.016896743,0.06340536,-0.0030148586,-0.03159796,-0.06713489,-0.06461324,0.011069878,-0.06161701,-0.066219345,-0.070269614
-0.055263706,0.042177506,0.03429712,0.057376537,0.008065434,0.024717636,-0.016957007,0.029148499,0.009687619,0.052627478,0.023273578,-0.0069745006,0.04285666,0.03557002,-0.011370547,0.023050193,0.0077002007,0.052436467,-0.025407242,-0.009887574,0.050358716,-0.010118321,0.06224879,-0.001702904,0.02721623,0.0483273,-0.0104057165,-0.0139212925
0.0471378,-0.017597035,0.008810527,-0.0612625,-0.051101487,-0.075064205,0.052675024,0.08456039,-0.048841264,0.049258083,-0.021797605,-0.042262115,0.0029076103,-0.052492972,0.014546353,-0.034437742,0.044051997,0.005630438,-0.02490497,-0.07067103,-0.06584546,0.02066765,-0.067596436,-0.0069109355,-0.050632827,-0.007761507,0.020988781,-0.010444633
