Structure,birdbath,birdhouse,bleachers,bridge,ceiling,chimney,closet,crosswalk,door,elevator,fence,ferris wheel,fire hydrant,fireplace,flag,fountain,garage,gate,mailbox,maze,road,roller coaster,roof,sidewalk,sign,stage,statue,tunnel,well,window
-0.052685134,0.053081594,-0.03731275,0.08392721,-0.032546166,0.08081962,-0.060217075,0.042508844,-0.03587933,0.00088339025,-0.043076266,0.02682208,-0.03405859,-0.0011152927,-0.053036675,-0.0077686934,0.07687816,0.0037936622,0.05188915,-0.03512495,0.028172132,0.02824908,-0.02955062,0.07067438,0.006197127,-0.051798053,0.008793147,-0.053740926,0.051978942,-0.0052974783,0.014623876
-0.03025986,0.039939553,-0.02845099,-0.022417815,-0.022817232,-0.052051097,0.026348246,-0.0046860175,0.04860299,0.01286017,0.06575674,-0.019492786,0.054555908,0.057213597,-0.016725782,0.018454876,0.06949956,-0.071599774,0.04137687,0.06744545,0.07795962,0.037706397,0.05888124,-0.04565749,-0.00953095,0.055813298,-0.06275554,-0.012735712,0.0044565294,-0.060827896,0.0083305305
-0.049718052,-0.0018611805,0.07335452,0.07303663,0.022828963,0.04806784,-0.01807292,0.053684868,-0.02991865,0.061552018,0.027898982,0.04695537,0.050503485,-0.017523231,-0.017156139,-0.054436665,0.04784435,0.0797486,0.049811162,-0.024830947,0.03383987,-0.030966813,0.01338,0.07651832,-0.017941501,-0.013024416,0.03689694,-0.02172552,0.007528259,-0.034682587,0.065363735
0.0040826197,0.08608649,0.086526625,0.09183346,0.03191021,0.07615985,0.006708728,0.048899915,-0.055642277,0.051043972,-0.05348253,0.060293157,0.062161405,0.012462831,0.028395822,0.006636667,0.056864366,0.036670756,0.05412588,0.023561362,0.07272582,-0.004927303,0.08245577,0.028060047,0.0133068785,0.017562734,0.03419183,0.04975303,0.016398469,0.0421107,0.03369119
0.08354443,0.04097987,-0.012186904,-0.008507063,0.04066236,0.01599063,0.060909063,0.021609623,0.012343243,0.017084096,0.03765458,0.013052894,0.013689075,0.0061610183,0.057254944,0.02265354,-0.026453288,0.038667798,0.029320115,0.04612691,0.015065443,0.008607298,0.040617254,0.01455398,-0.039456163,0.042288695,0.021777786,-0.010371786,-0.012688307,-0.09320493,0.027992856
0.08224583,0.07201002,0.046249002,0.065332614,0.08335931,0.075031854,0.08034981,0.08639038,0.049840678,0.07382116,0.071130954,0.07991002,0.056004815,0.05875312,0.07892322,0.071992025,0.08083444,0.07087229,0.08525685,0.07317188,0.0627077,0.091044456,0.08027539,0.077834606,0.07607648,0.08314319,0.0888433,0.072176546,0.057467975,0.09592579,0.0823991
0.069233894,0.05729717,-0.005187284,-0.006711182,0.059754252,0.06127886,-0.0014808818,0.048403982,-0.0069393823,0.073399864,0.026404595,0.07213813,0.046808325,0.028312191,0.016076047,0.032475334,0.019012952,0.030862572,0.064097516,0.07255473,-0.0076457756,0.07611959,0.08197193,0.047187485,0.02303999,0.068020314,0.083281696,0.06054825,0.06279145,0.09292244,0.078685075
0.026910694,0.0036898092,0.028139375,0.0374265,0.0805556,0.013193296,-0.037747484,0.046804316,-0.020600313,0.040445175,0.025352709,0.036338065,-0.046407837,0.026221236,-0.004218499,0.032480393,-0.065943405,-0.010730952,0.07653016,0.039592385,-0.019570269,0.05693901,0.0016221928,-0.06285048,-0.033097595,0.053615347,0.032580495,0.053025994,0.027652815,0.042913456,-0.039206862
-0.06637222,-0.046837285,-0.080729894,-0.048907153,-0.08280542,-0.07564928,0.017402224,-0.026078388,-0.0773637,-0.06879889,-0.023646293,0.0313198,-0.0633283,-0.05100305,-0.011779368,-0.067786574,-0.00013290756,-0.018309325,-0.04615663,-0.0019849949,-0.028799549,-0.07210882,0.0063628918,-0.004534351,-0.08787053,-0.057076756,-0.0311358,-0.05905133,-0.028795801,-0.014943029,-0.004690961
-0.06365001,0.032382306,0.014027106,0.04045215,0.03554732,-0.064496234,0.0019015057,-0.042384088,0.021925824,0.015007954,0.061339736,0.016689124,-0.0025118033,0.0067432625,0.043999046,-0.06996927,0.01821108,0.0019842638,0.0028015948,0.070519105,0.052468985,-0.012308374,0.0068664276,-0.03851637,0.019293033,-0.013909812,0.016963528,-0.0555419,0.016769934,-0.03977554,0.012854508
0.041490726,-0.082090326,-0.06973211,0.052054185,-0.06119881,0.04930793,0.021913383,0.055880543,0.06648405,0.0095557,0.03676048,-0.024240714,-0.031740453,0.047056723,0.046831876,0.0025692668,0.075003535,0.027653318,0.06561819,0.02702164,-0.022144867,-0.006849582,-0.013970406,0.052471913,0.054824974,0.0051703025,0.036718216,0.030787589,0.007214524,-0.018718991,0.008283869
0.089440666,0.0119397305,0.0646988,0.07335108,0.037235107,0.05874384,0.06637388,0.08054214,0.06313764,0.015012121,0.075667605,0.059579134,0.07901697,0.060858585,0.07162617,0.062062383,0.053705778,0.07171614,0.06098993,0.06535379,0.076665714,0.090154365,0.056361258,0.06396553,0.0761579,0.0040398766,0.062171854,0.069122255,0.010310247,0.07001839,0.07196188
-0.06884857,-0.08424179,-0.053835116,-0.008370034,-0.04509653,-0.015307541,-0.0046110353,0.0015468487,0.022182222,0.0186062,-0.07044217,0.050813194,0.0048414697,0.029421968,-0.05308793,0.007581963,0.007269906,-0.013487128,-0.0075311437,0.06051419,0.06636394,0.011744434,0.053377964,0.05147891,0.060822807,-0.090030484,-0.039563786,-0.017703827,0.05180081,0.019035205,0.015201024
