Toys Games & Hobbies,ball,balloon,baseball,basketball,beads,binoculars,bubble,camera,checkers,compass,dart,dice,doll,dominoes,football,golfball,hopscotch,jump rope,kite,magnifying glass,marbles,medal,microphone,needle,net,record,robot,sandcastle,sewing machine,skateboard,skis,sled,slide,slingshot,sparkler,swing,target,telescope,tennis ball,thimble,tic-tac-toe,top,trophy,whistle,yarn,yo-yo
0.021405125,0.05414832,-0.011558374,-0.01894564,0.043486264,-0.008711982,-0.050656524,0.0046398565,-0.027975263,-0.040530637,-0.055257816,-0.02897732,-0.032001704,-0.053633023,-0.063096136,0.032332566,0.047057875,-0.061551917,0.05364253,-0.039509855,-0.011951631,0.03674366,0.05399992,-0.06803341,0.047204055,-0.05896235,-0.07467472,0.027037028,-0.07097058,-0.0060307346,-0.026231475,-0.05362966,-0.062901095,-0.059006702,-0.013659016,-0.037618916,-0.06300936,0.00074325653,-0.0038088288,0.02620229,0.012612563,0.061661016,0.00992933,-0.041457172,-0.055360768,-0.03395682,-0.038410544
-0.06600014,-0.020371664,-0.07727386,-0.0060764616,-0.046519965,-0.015277383,0.06041423,-0.031104075,-0.054067392,0.066784315,0.040374845,-0.012341386,0.048520856,-0.04972872,0.06659344,-0.03170738,0.038396694,0.0021914025,-0.058977965,-0.06766676,0.069705434,-0.0067248954,-0.0002528604,-0.0074859774,-0.07447932,-0.027353674,-0.030933056,-0.03448027,-0.04994204,-0.06119641,0.037459187,-0.04954752,-0.05825814,0.054774374,-0.056551207,-0.06429955,0.07965064,0.08344367,-0.038347773,-0.047222454,-0.015355934,0.071878575,0.022128984,-0.07492583,-0.03629672,-0.07722441,-0.053101547
-0.05352821,-0.006119602,0.08331358,-0.012841122,0.037459593,0.07691623,0.028079936,0.077528715,0.04901072,0.05011074,-0.04440368,0.040858783,0.081063606,0.028483601,-0.016162405,0.045013588,0.018998876,0.066039905,0.07198957,0.0793001,0.006767676,0.028371666,0.067474894,0.027486026,0.081615604,0.02339198,-0.016062079,0.024338407,0.012889348,-0.0690315,0.070543565,0.07187161,0.055450976,0.052310534,-0.0039453097,0.06745863,0.054440506,0.069746755,0.041794702,-0.004642466,-0.020943657,-0.027407194,0.058395173,0.046333317,0.035373017,0.052846763,0.0629007
-0.04386805,0.04484333,-0.03853744,-0.04719146,-0.008836785,-0.028359937,-0.023856796,0.070728846,-0.047739327,0.03804241,-0.029601356,-0.013679484,-0.021727834,0.024174934,0.016076937,-0.022730444,0.030229473,-0.009779603,0.0033401977,0.043292936,-0.022645125,0.019489586,0.026250703,-0.0010060968,0.027713234,0.022549758,0.006721419,-0.034271035,-0.011560463,-0.0118352,-0.05852614,0.027141897,0.055527907,0.018210601,0.067734815,-0.051923677,0.0596665,-0.055355456,-0.019177252,0.05754703,1.2254554e-05,-0.02679733,0.075715095,0.054508317,-0.014882176,0.054932084,0.0642524
0.036496345,0.07910523,-0.037743967,0.047363125,0.07058624,-0.013053721,0.0051291194,-0.04474919,0.009019749,0.032234494,0.018976863,0.03807237,0.01127841,-0.06283912,0.06319759,0.0027351046,-0.0009864699,0.030827984,0.027389789,-0.0837819,0.048195854,0.07589913,0.05473382,0.05331388,0.060689006,0.015503345,0.002376485,-0.01941329,0.04547619,0.042237032,-0.055872474,0.0423092,0.039918225,-0.012071252,0.07220992,-0.0033371905,-0.015333544,0.039743602,0.025841244,0.07999675,0.014269782,0.00920128,0.0002717475,0.07486153,-0.023009878,0.012924303,0.05507353
0.056079987,0.030187055,-0.016860677,0.05144087,0.051803775,0.070324145,-0.041364558,-0.027969163,0.029685345,0.03830086,0.035486646,0.04420943,-0.037464336,0.045796297,0.012719691,0.0667065,0.047290362,0.006081816,0.046861917,0.022560319,-0.02365825,-0.014831072,0.023139162,-0.051380243,-0.00015872387,-0.0533663,-0.07838463,0.040426344,-0.010658446,0.043985654,0.045589313,0.049043145,0.005605367,0.047012176,0.016511144,0.056040037,0.027340988,0.052153394,-0.017032908,-0.008240942,-0.002066033,0.0024434628,0.050018594,0.001376385,-0.051450167,0.012040467,-0.002489111
-0.06409832,0.041056935,0.07372388,0.014482003,0.03421364,-0.0039055382,0.067323856,0.074091405,-0.028863464,0.036588196,0.0780372,0.072068855,0.03881587,0.028545583,0.026855731,0.023973789,0.088625975,0.059970323,0.070583045,0.07137294,0.081038296,-0.008497085,0.0056901826,-0.002408054,0.08013715,0.037868194,0.01554311,-0.053311087,0.015626319,0.0011421309,0.013085353,0.045223165,0.014491399,0.078714564,0.071816735,-0.029872095,0.056582607,0.077087514,0.04411682,0.0074372212,0.08899068,0.0767883,0.097655445,0.047358215,-0.0020188545,0.04485324,0.03523006
-0.02477304,-0.0022870721,0.018409314,0.06247226,0.021602131,0.06453035,0.022221617,-0.0474283,0.027300904,0.0014944195,0.0435435,0.077646896,0.03485236,0.066397995,-0.06045199,0.06099596,0.05700662,0.022109881,0.029702377,-0.008865766,0.05864231,-0.04222796,0.038400427,0.008118174,-0.029578445,-0.018353065,0.039431743,0.0725485,0.024939397,-0.04295738,0.049799364,-0.024419993,0.0563516,-0.041797496,0.016829131,0.020949079,-0.016703427,0.07821627,0.055607945,0.052911468,-0.0009629361,0.046936866,0.014070971,-0.019125279,0.022175815,-0.0075776456,0.042915404
-0.02875338,0.0029015087,0.06642161,0.02443049,0.08372073,-0.032705545,-0.02817681,0.015385695,-0.039377972,-0.0027462048,0.03333556,-0.008049845,0.02325972,-0.03108577,-0.02193089,-0.031456403,-0.066525325,-0.00029546014,0.058225796,-0.048452117,0.03493461,-0.010694571,0.010086393,0.032412037,0.07834348,0.031705458,0.03397781,0.06846577,0.007191313,0.048548657,0.030495746,-0.019842075,-0.025316892,0.008976811,0.049381882,0.015421944,-0.020104961,-0.037294872,-0.017058961,0.024145817,-0.05573047,0.076684825,0.003372843,0.023156924,0.005110436,-0.06472901,-0.057316564
-0.0061852024,0.039759535,0.06964366,0.07698098,0.084033966,0.0014871373,-0.031966045,0.08216249,0.018104604,-0.012371767,0.047742374,-0.05838929,-0.06850089,-0.010477085,0.009825041,-0.06556643,-0.009640627,-0.017106032,0.01527365,0.05911789,-0.017260652,0.0026827308,0.02918946,-0.023589823,0.047468934,0.04745611,-0.059435446,0.07746591,-0.06717756,-0.011954592,0.03619344,-0.06805325,-0.050839614,-0.015000329,0.019645792,-0.00083699485,-0.026690856,-0.048860744,-0.004889717,-0.045159355,-0.007404016,0.008112932,0.05304594,-0.034563083,0.01890257,0.030315397,0.06587076
