parts of buildings,attic,bathroom,brick,cabinets,ceiling,chimney,curtains,door,faucet,fence,fireplace,garage,gate,kitchen,light switch,mailbox,roof,shower,sink,tile,toilet,window,chandelier,elevator
-0.029583063,0.010757864,-0.019711781,0.004256513,0.049793724,0.026916835,0.07175042,-0.048085768,0.07059057,-0.014605444,0.014065383,0.06595832,0.059048288,0.02162265,0.07162232,0.033570267,0.057398725,0.07503165,0.044326328,0.053811137,0.014099394,0.02904186,-0.07600228,0.006367018,0.06520204
-0.054722533,0.025509497,-0.028420253,-0.014723029,0.039693523,-0.031016415,0.002403772,-0.020497289,-0.049471147,-0.024244802,-0.03266314,0.01218452,0.025009781,-0.064668566,0.020798951,0.06636001,0.025908379,-0.06148641,-0.01780703,-0.01100876,0.016482174,-0.044469815,-0.04433824,0.006103629,-0.05707444
-0.045270916,-0.050799444,-0.05865903,0.003627664,-0.080484845,-0.0555894,-0.03483607,-0.07344623,-0.009324242,0.02100656,-0.004495781,-0.02654803,0.005153887,0.03231977,-0.043226104,-0.04686777,-0.00108811,-0.026766796,-0.046106696,-0.0692586,0.030166967,0.010226528,-0.0774511,-0.05183542,0.052918658
0.04806143,-0.045750737,-0.0204829,0.02401605,-0.058732085,-0.067814425,-0.044421744,-0.038923856,-0.06377463,-0.064964786,0.02372958,-0.021495216,-0.07387318,0.000758457,-0.003825466,-0.032919306,-0.06301166,-0.04865821,-0.0490217,-0.004158064,-0.014254279,-0.013800974,-0.005776999,-0.052302156,-0.06495147
-0.05830237,0.028563537,-0.009874026,0.045673963,-0.05631836,-0.052141618,0.03044182,0.011840673,0.018216262,0.05700439,0.057702847,0.04516053,0.060637742,0.047747083,-0.04314323,-0.050029043,0.011247638,0.004619716,0.07033303,-0.018576896,0.03703944,0.005697581,-0.009384168,0.049020343,0.028745966
0.001897896,-0.02108571,0.053383898,-0.03316128,0.032985218,-0.058835473,-0.026195738,0.027668787,0.022392394,-0.0561308,-0.0759528,-0.026078759,-0.042291887,0.008847334,-0.04158669,0.04787763,-0.01385545,-0.016625395,0.03755652,-0.04711219,-0.026096988,0.015521217,-0.026987216,0.002390074,-0.045211893
0.021529669,-0.021549787,-0.06392536,-0.052657634,0.030918628,-0.030806893,-0.032093264,0.047514234,-0.077892125,0.05930098,-0.02947428,-0.04611292,-0.08088981,-0.058180623,-0.03033981,0.04140118,-0.029883983,-0.08272371,-0.018281657,0.033131354,0.004936511,-0.042625103,-0.04542763,0.012982798,-0.02501246
0.011024576,0.073910706,0.06063173,0.06438075,0.029221235,-0.050741684,0.05223146,0.05742311,0.0835521,0.07312305,0.043988273,0.064780645,0.065575205,0.076241456,0.036104854,0.05786613,0.035404284,0.005341509,0.048635066,0.04002067,-0.002003188,0.051561575,0.02599976,0.013940292,0.034075312
0.028788045,0.04804589,0.024209667,0.023373827,0.0720591,0.000511179,0.013423812,0.01840196,-0.046024505,0.016858041,-0.002692506,0.020246375,-0.004832075,-0.07138663,-0.030777704,-0.062291212,-0.019587172,0.026178215,-0.030019065,0.048396453,0.048567392,0.02806939,-0.039313853,-0.018920878,-0.05326595
-0.039415356,0.010343923,-0.019672412,0.032407444,0.009946671,-0.043997385,0.009964277,0.073630065,0.050178785,-0.023745593,-0.017187418,-0.032920595,0.010981549,-0.000454547,-0.070415445,-0.056901824,-0.062090162,0.026356295,-0.05087769,-0.019876521,0.02183883,0.04888361,-0.03260786,-0.004259743,-0.001263006
0.032453354,-0.043782324,0.062164005,0.062269457,-0.023045674,-0.009477042,-0.039351508,0.014224098,0.05715181,0.045374326,0.04248174,-0.045887936,-0.02293494,0.070894696,0.003737556,-0.000439243,0.053926814,-0.004402455,0.045700304,0.01973427,0.05261764,0.000128081,0.013057752,-0.04068891,0.012943441
-0.022660598,-0.048948575,-0.004323261,-0.069799684,0.056495413,-0.040962324,-0.056416042,-0.008192547,-0.030837953,-0.004462279,0.018532753,0.001733238,0.005865378,0.002577374,0.002788274,-0.03668237,-0.07814538,-0.044683773,-0.046769727,-0.03768247,0.051875133,-0.047719795,0.043338418,-0.03998065,-0.012840354
0.002928006,0.071034566,0.000241269,0.03204306,-0.06254516,0.08335233,0.05404872,-0.05085315,0.00718744,-0.014057062,0.048652083,0.024634441,-0.02313791,0.032283746,0.03353332,0.005825345,0.05194253,0.0440819,0.036985576,0.030864112,0.049468946,-0.042362876,0.07546332,0.07136272,0.05949651
-0.007222031,-0.01054248,-0.033882763,-0.023710394,-0.014786948,-0.02944588,-0.000170022,0.06482284,-0.03625457,0.039912213,0.07746834,-0.024456957,-0.027997818,0.006843675,-0.052344404,-0.050637648,0.061868954,0.047828045,0.037543844,0.040963046,-0.044090975,-0.011902233,0.04784389,-0.04836091,-0.058770157
-0.012102472,-0.028430166,-0.050701596,0.030084386,0.039534047,-0.055487446,-0.018095825,-0.0611105,0.030491496,0.020769354,-0.008388977,0.037029583,-0.05939061,-0.021806557,-0.024834987,-0.061462242,0.0513489,-0.009941501,0.026352122,-0.001025603,0.027186144,0.015346126,-0.070274994,0.015020788,-0.029235365
0.06023123,0.04274903,0.06773328,0.056130175,0.026522662,0.052144222,0.06933583,0.05847774,0.07906466,0.051064894,0.056664106,0.07161695,0.06676695,0.052381214,0.06273356,0.035619017,0.03754018,0.07065451,0.07318131,0.035498124,0.01953376,0.07163438,0.055464137,0.047523737,0.047784686
0.04028061,0.08201194,-0.019391451,-0.007781558,0.023322864,0.06950691,0.023713868,0.01072288,0.040248666,0.010802008,0.07248695,0.018851468,-0.005246131,0.032278392,-0.010355514,-0.017887648,0.049861964,0.06902626,-0.015839618,0.06493451,0.04371343,-0.003486812,0.032061912,0.031052023,0.0557858
-0.055080425,-0.01194966,0.006771064,-0.033376496,-0.031051721,0.026548397,0.03894973,-0.001462063,-0.00220772,-0.062311713,0.080366366,0.048680365,0.0531556,0.01026999,0.029080497,-0.028127417,-0.0724205,-0.010694888,-0.040667612,0.003305664,0.029459644,0.002946487,0.026512293,-0.06912541,0.022690596
0.024511926,-0.029985385,-0.012717001,0.0702416,0.047637857,0.06357336,-0.04222868,-0.042241365,0.008752097,-0.02108215,-0.009090604,-0.04747064,-0.062359,-0.048295926,0.024683483,0.074570924,-0.03368289,0.016823174,-0.012872903,-0.010958259,0.034497634,0.045433808,0.032692075,-0.033730168,0.050566737
-0.010417515,0.057816014,-0.030657671,0.06943564,-0.043244384,0.020613115,-0.009747974,0.02078125,0.007855003,-0.036477666,-0.056644596,-0.010456018,0.04956029,0.008945121,-0.050720517,0.051168814,-0.057804897,0.07447292,0.027343899,-0.00062532,-0.028669266,0.061689526,0.000856767,0.04286318,-0.06502078
