toys and games,ball,balloon,baseball,basketball,checkers,crayon,dart,dice,doll,dominoes,football,frisbee,golf,golf ball,helmet,hula hoop,jump rope,kite,marbles,medal,puzzle,robot,sand castle,skis,slide,slingshot,swing set,tennis,tennis ball,tic tac toe,top,trophy,yoyo,hopscotch,rubik's cube,slinky
0.021039464,-0.00816725,0.07936842,0.078084365,-0.038730115,-0.037585262,0.007635202,-0.04613277,0.01932352,0.027316619,-0.012003473,-0.06632419,0.07481228,-0.06767816,-0.051137097,0.036538064,0.059932478,0.044238903,-0.050517205,0.041055314,0.05947884,0.028047424,0.052593697,0.06218814,-0.033332393,0.052392047,0.07898476,0.046325877,-0.030661853,-0.000149255,-0.046332754,0.030572295,0.002798986,0.075998984,0.07725969,-0.030886278,0.07274275
-0.05209953,0.01615008,0.038074393,-0.06804123,-0.052482698,0.036485303,-0.058567483,0.0419219,0.052286774,-0.04591944,0.06807189,-0.041887097,0.010589943,-0.05108886,-0.04590726,0.025499731,0.014991674,-0.005440841,-0.00172236,-0.031798683,-0.06519853,-0.051064927,-0.08685238,-0.025355157,0.027478592,-0.024979012,0.055613447,-0.003684308,-0.0449696,-0.029436227,-0.05760445,-0.031129468,0.033637352,-0.07893662,0.019040346,-0.024107892,0.017774312
-0.044184286,-0.02754317,-0.05095806,-0.07085912,-0.039488174,0.03529423,0.02254418,-0.044251516,-0.068590246,-0.007416656,0.028096434,-0.070012175,-0.062079404,-0.05779153,-0.054188292,-0.011505648,-0.038870823,-0.008658387,-0.034325793,0.010899022,-0.062460065,0.037902907,0.032826096,-0.04447941,0.059264205,-0.013819267,-0.07097919,0.0212392,-0.058275383,-0.05996718,0.034233674,-0.0558334,-0.0651804,-0.052959275,-0.007894329,0.035470303,-0.02711176
0.03248866,0.007843883,0.047907222,0.008386349,0.008389957,-0.003648472,0.010295649,-0.014038228,-0.025468133,0.07845997,0.015879715,-0.020897405,-0.004773151,0.03933592,0.02911889,-0.04815854,-0.022420418,0.02405294,-0.016096998,0.034124795,0.00685007,0.02413142,0.029114904,0.07517257,0.038905285,-0.024228323,-0.021784788,0.07157125,0.036240403,0.03657817,0.000850285,0.000923729,0.078132294,-0.034329567,0.025487678,-0.033983253,0.041088447
0.057693195,0.066471584,-0.059786227,-0.018886188,0.008359499,0.0441413,0.05142985,-0.004236518,0.001661625,-0.012224463,0.065140724,0.01081662,-0.03196993,-0.06373166,-0.042939104,0.06530617,0.054916415,-0.038840476,-0.059810076,0.044376817,0.0305459,-0.02046609,0.010858092,-0.06982908,-0.010985761,0.03959402,-0.06937103,-0.07046806,-0.047541942,-0.001141186,0.017689452,0.004098043,0.05195299,0.029903933,0.06309535,0.030056067,0.046463676
-0.025036426,0.08106923,-0.003263144,-0.035399955,-0.028692877,-0.003843519,0.04393449,-0.053771995,0.04010122,0.043393403,0.05473641,-0.03983803,-0.05835762,0.034385674,0.05567519,0.08241703,-0.048105758,0.003213145,0.047120094,0.07637962,-0.046935245,-0.025517602,0.034773633,-0.06313737,-0.04713818,-0.072633445,-0.003113101,0.028274955,0.04021485,0.04727096,0.050354116,-0.031836227,-0.051230613,0.005581777,-0.032071825,8.08E-05,-0.03680685
-0.026120402,0.05414833,-0.011558325,-0.018945605,0.04348625,-0.040530626,-0.000253399,-0.028977318,-0.03200169,-0.053633038,-0.06309611,0.03233258,-0.030405443,0.020136591,0.04232444,0.001454793,-0.0440859,0.053642515,-0.03950985,0.036743656,0.053999923,0.052051365,0.027036993,-0.07687938,-0.053629663,-0.059006695,-0.013658999,-0.050925504,-0.024245689,0.02620231,0.03098408,0.00992934,-0.04145719,-0.03841053,-0.06155191,0.012859536,-0.047458358
-0.02568601,-0.020371644,-0.07727386,-0.006076453,-0.046519954,0.0667843,-0.033646088,-0.012341396,0.048520844,-0.049728725,0.06659345,-0.0317074,-0.054782294,0.018523924,-0.007565633,-0.07100335,0.018564494,-0.05897797,-0.067666754,-0.006724907,-0.000252889,-0.06437822,-0.034480236,-0.06637454,-0.04954752,0.054774344,-0.056551207,0.06347276,0.00759822,-0.047222465,0.07796946,0.02212897,-0.074925825,-0.053101532,0.002191348,0.033823986,0.025516719
-0.068035245,-0.006119607,0.08331358,-0.012841139,0.037459537,0.050110713,-0.056965005,0.040858768,0.08106361,0.028483605,-0.016162414,0.04501359,-0.057231106,-0.006075236,0.003870644,0.07734958,0.022698086,0.07198957,0.0793001,0.028371654,0.06747489,0.059147537,0.02433839,0.07214456,0.071871616,0.052310552,-0.003945297,0.026570406,0.044924155,-0.004642495,0.084939174,0.05839518,0.04633332,0.062900715,0.066039905,-0.04947868,0.008966041
-0.028355075,0.04484334,-0.038537472,-0.047191385,-0.008836847,0.038042404,-0.007524806,-0.013679526,-0.021727825,0.02417498,0.016076896,-0.022730464,0.033857238,0.027801162,0.039323114,-0.05051888,-0.04435414,0.003340193,0.04329295,0.019489566,0.026250733,-0.053048033,-0.03427094,-0.021395262,0.027141914,0.018210562,0.067734845,0.018101905,0.06707246,0.057547033,0.058420323,0.07571508,0.05450834,0.064252414,-0.009779656,0.04604952,0.023574084
